"","开盘价","收盘价","最高价","最低价","前收盘价","均价","涨跌","涨跌幅","成交量","成交金额","换手率","振幅","聚类结果","收益率","累计收益率","交易日","当日涨跌","上周平均收益率"
"1",94.0354352247296,92.4564363715902,94.413408975497,91.8047076046018,91.1591433138496,92.9959930260384,1.29729305774061,0.203923209398636,31662090.5936526,724567763.944374,0.712082245456515,2.68544295600375,1,0,0,1,1,0
"2",92.5999223279529,91.211311647213,92.9575380603991,90.5318177754283,92.4564363715902,91.6998873955586,-1.2451247243772,0.319583366569527,24475459.2866253,413064620.391278,0.650521873340179,2.39822946162229,1,0.00319575485640746,0.00319575485640746,2,1,0.00319575485640746
"3",90.74521081107,93.09322307004,93.9178081682954,89.9315346377705,91.211311647213,92.6145276443945,1.88191142282697,2.31710327841466,35945683.4421644,565247874.28027,1.04620211800042,4.46780831922576,1,0.023171031498564,0.0263667863549715,3,1,0.0263667863549715
"4",94.0099594461878,93.7396543070104,94.7331825527625,93.1358299443491,93.09322307004,93.7877875873603,0.646431236970401,1.98287888630046,40986351.6519264,568513243.524448,1.23909600141068,2.7785934638444,1,0.0198287279303973,0.0461955142853688,4,1,0.0461955142853688
"5",93.7022002916086,93.6009022792896,94.7052222400372,92.8794323661607,93.7396543070104,93.9067418303304,-0.138752027720807,-0.413660477903986,27355951.3276049,421349863.88424,0.826875398814054,2.16077662012232,1,-0.00413649428056886,0.0420590200047999,5,0,0.00841180400095999
"6",94.3613526620657,95.2314752045174,96.8184764655874,94.1751691912372,93.6009022792896,95.5868315923265,1.63057292522786,0.337976385140669,39106540.0016481,705039796.680509,1.00989918008009,2.75658844010824,1,0.00337980465857568,0.0454388246633756,6,1,0.00908776493267512
"7",95.3878891160748,95.5786967549095,96.574372464877,94.2958629994942,95.2314752045174,95.6342016174231,0.34722155039202,-0.278584147109185,30632796.5584557,468407792.056449,0.747395930096563,2.58157496143249,1,-0.0027858513492411,0.0426529733141345,7,0,0.00789144369154541
"8",96.5152768644309,98.1682714572865,98.3660285796447,95.5691504291603,95.5786967549095,97.144283597316,2.589574702377,2.07972303117766,30616836.8954787,565938177.267685,0.923793886891728,2.67074096944619,1,0.0207971635652661,0.0634501368794006,8,1,0.00741667010488582
"9",97.6997871059291,96.458295780608,98.1835563203315,95.9800452143288,98.1682714572865,96.7200898395654,-1.70997567667847,-1.38666456147194,23161838.7312327,391781642.618465,0.723199440469108,2.1301208912711,1,-0.0138666013684128,0.0495835355109878,9,0,0.000677604245123794
"10",96.9446979130369,101.622543037165,101.859076014,96.4854966201457,96.458295780608,99.8798620349743,5.16424725655686,1.90195436638511,26182059.7789268,695513361.487641,0.838583780082833,2.49631240496267,1,0.0190196361087647,0.0686031716197524,10,1,0.0053088303229905
"11",101.339219711683,101.840147225837,102.537794183619,100.635218754329,101.622543037165,101.563879074284,0.217604188671663,0.557883262270326,23954114.2905117,573126988.521681,1.31782515360038,2.25772398368235,1,0.0055790620516043,0.0741822336713567,11,1,0.00574868180159622
"12",102.117271055495,101.440130897901,103.087464415875,100.919887234287,101.840147225837,101.859061288406,-0.400016327935965,-1.55159408406924,22353373.9721648,446836226.213094,0.776657439464194,2.33275186030457,1,-0.0155160351799519,0.0586661984914049,12,0,0.00320264503545407
"13",102.283414156128,105.00439651678,105.997142902137,101.701046144638,101.440130897901,104.070251585172,3.5642656188799,1.45225993733416,36622679.8514812,909901762.187423,0.837667147104662,2.87709832688276,1,0.0145225410779029,0.0731887395693077,13,1,0.00194772053798142
"14",105.916421966381,105.473623437107,107.257353839327,104.691220438802,105.00439651678,105.789341656042,0.469226920326332,-0.0938000317800943,27552751.7495246,651999022.110039,0.576579673117031,1.93711622244397,1,-0.000938056520547924,0.0722506830487598,14,0,0.00453342950755441
"15",105.322277939865,103.091431197908,105.378871664257,102.234158352725,105.473623437107,103.418871925394,-2.38219223919867,-1.46984328908658,22715050.4809519,560040947.25518,0.554914889859378,2.40330609174011,1,-0.0146984047012165,0.0575522783475433,15,0,-0.00221017865444182
"16",102.551353695963,102.378868529242,103.722095940902,101.942986569129,103.091431197908,102.774418466868,-0.712562668666265,0.504173117137577,18872637.9333453,451255775.612742,0.655465864283643,2.02117815589313,1,0.00504175290579361,0.0625940312533369,16,1,-0.00231764048360396
"17",103.033934628273,103.336950638273,104.19996719835,102.136949208948,102.378868529242,103.312998950791,0.958082109030819,-0.152658291587511,22384992.832814,436998691.646706,0.684803693092288,2.43024960080523,1,-0.00152672807221185,0.0610673031811251,17,0,0.000480220937944047
"18",103.832104183046,104.413221461017,105.227430932851,102.942640217812,103.336950638273,104.226800832286,1.07627082274396,0.70083200628016,33240370.5014129,542104228.744081,0.592504639382135,1.9517499173004,1,0.00700848367923805,0.0680757868603631,18,1,-0.00102259054178892
"19",105.050572379623,103.97225811502,106.557306373307,103.806676551982,104.413221461017,105.308358813755,-0.440963345996221,-0.530725934525403,33013842.5829749,590792283.02118,0.657948385184277,2.44109130224274,1,-0.00530708553387753,0.0627687013264856,19,0,-0.00189639634445484
"20",104.028522728666,105.084408644488,105.623355712088,102.494099781862,103.97225811502,104.623871562642,1.11215052946715,-0.230731494281808,29902299.7238432,506187863.16609,0.718983140088908,3.52617395670684,1,-0.00230735108197437,0.0604613502445112,20,0,0.00058181437939358
"21",105.071453995907,103.787249411148,105.375451573613,103.708659252715,105.084408644488,104.506275888458,-1.29715923334005,-0.265432876056578,26926963.0425547,420700711.705766,0.626729827401655,2.58998235242564,1,-0.0026542888863006,0.0578070613582106,21,0,-0.000957393979025262
